OTU.ID,SP0514.FP0389.D1,SP0514.FP0393.D1,SP0514.FP0376.D1,SP0514.FP0377.D1,SP0514.FP0423.D1,SP0514.FP0395.D1,SP0514.FP0399.D1,SP0514.FP0400.D1,SP0514.FP0415.D1,SP0514.FP0360.D1,SP0514.FP0371.D1,SP0514.FP0404.D1,SP0514.FP0369.D1,SP0514.FP0381.D1,SP0514.FP0362.D1,SP0514.FP0422.D1,SP0514.FP0361.D1,SP0514.FP0364.D1,SP0514.FP0387.D1,SP0514.FP0421.D1,SP0514.FP0363.D1,SP0514.FP0375.D1,SP0514.FP0416.D1,SP0514.FP0382.D1,SP0514.FP0370.D1,SP0514.FP0365.D1,SP0514.FP0383.D1,SP0514.FP0388.D1,SP0514.FP0394.D1,SP0514.FP0405.D1
OTU_1,4932,788,2169,3400,4650,7356,224,1039,407,152,1288,449,411,2548,2069,3910,764,1976,636,523,270,1025,1100,2425,1648,2962,1464,2921,3691,1152
OTU_5,632,1490,861,221,532,185,1655,434,835,760,51,1267,889,1241,718,599,796,966,953,1040,824,867,580,1569,235,768,694,805,451,757
OTU_2,2513,1123,3255,4834,1854,5330,140,742,126,113,2230,628,761,1951,1772,1865,1009,2147,1116,489,398,1306,868,1818,3119,2529,990,1850,2313,1768
OTU_3,258,419,345,57,144,55,89,216,301,184,21,156,179,518,329,192,329,520,429,453,210,684,545,463,118,485,348,320,95,361
OTU_4,1472,816,1243,1325,1186,1429,75,439,92,119,1519,161,292,204,1586,980,1360,1563,768,297,163,648,410,188,2117,655,89,1324,1810,355
OTU_10,5,40,16,15,11,11,268,9,760,36,8,117,271,453,13,31,10,7,59,307,172,66,89,687,3,55,182,18,28,13
OTU_42,270,575,410,96,201,107,128,273,302,176,271,246,266,318,660,296,779,623,700,461,175,517,574,306,471,255,136,413,275,331
OTU_25,160,633,237,29,87,33,1444,147,153,773,31,490,469,140,240,133,743,314,991,578,934,567,314,197,59,113,94,290,114,410
OTU_8,20,78,54,16,26,12,26,23,20,37,2,19,25,29,64,20,161,41,135,24,13,59,31,37,20,28,17,48,39,25
OTU_11,25,154,87,17,42,8,258,87,376,132,11,222,141,146,90,69,131,72,163,407,152,154,238,160,13,46,74,89,33,85
OTU_17,1280,400,1003,1377,1542,1066,98,172,241,92,281,265,348,677,617,1415,707,377,471,465,219,612,621,1098,438,511,718,808,1347,319
OTU_239,96,314,298,63,110,30,153,193,411,137,65,189,208,310,316,210,550,362,505,325,175,497,375,233,102,274,114,198,95,224
OTU_16,1053,353,514,558,1084,753,16,360,35,47,342,126,155,507,937,1000,387,364,130,111,48,125,326,332,1011,650,213,714,974,308
OTU_14,1,15,6,0,1,6,119,0,314,75,3,66,26,21,3,1,0,2,15,14,154,5,30,51,1,2,21,3,11,6
OTU_13,54,319,59,32,43,5,195,34,159,128,7,160,169,89,35,64,80,48,172,137,149,148,179,137,36,22,50,94,21,79
OTU_9,110,345,129,20,117,11,264,62,261,196,14,264,302,185,126,175,492,148,216,347,258,263,233,344,65,124,211,168,65,139
OTU_56,3,66,8,1,4,3,277,2,584,311,7,376,63,41,10,7,3,6,59,130,229,52,45,101,2,0,34,15,27,44
OTU_6,104,462,133,20,86,14,358,65,83,91,6,250,220,70,107,119,251,77,254,174,213,134,214,61,52,53,35,149,56,155
OTU_28,527,789,838,49,290,64,624,975,210,121,35,1225,786,715,768,442,614,1120,1191,733,333,1258,1033,687,176,1008,304,1058,399,1432
