Sample.Name,Section,Catalog.Number,BG,BX,CB,AP,NAG,AAP
SP0514.FP0360.D1,C,FP0360,29532.89308,3491.429475,6837.228139,23489.77949,6688.274164,3578.122314
SP0514.FP0361.D1,B,FP0361,2494.516698,1033.872803,574.4978686,7884.316121,1013.501736,643.0570527
SP0514.FP0362.D1,A,FP0362,3370.780654,1463.653186,444.3576018,11581.69558,1923.272666,770.4423666
SP0514.FP0363.D1,C,FP0363,6506.974574,1306.205647,506.2325768,22435.45083,1510.979368,855.7382135
SP0514.FP0364.D1,B,FP0364,2145.414556,556.6221356,250.9606467,19290.03663,1787.307001,563.9374194
SP0514.FP0365.D1,A,FP0365,4773.5935,1426.949633,818.0431074,11943.41078,2055.943943,978.6334005
SP0514.FP0369.D1,C,FP0369,3766.132007,411.8613614,428.7058083,13418.53393,1668.442993,480.5043299
SP0514.FP0370.D1,B,FP0370,2268.435308,718.701311,275.081292,6636.375865,2176.03212,821.3061112
SP0514.FP0371.D1,A,FP0371,5274.792439,3108.202694,700.7165664,7514.982288,2292.181144,2374.436819
SP0514.FP0375.D1,C,FP0375,3057.701946,516.0614061,503.5714616,14487.28534,2730.499103,665.3677995
SP0514.FP0376.D1,B,FP0376,3288.593012,1435.215513,965.1189374,9456.935319,2410.551753,1382.388341
SP0514.FP0377.D1,A,FP0377,2601.204449,1071.823232,322.8350649,6077.4809,1462.819468,1007.305894
SP0514.FP0381.D1,C,FP0381,3185.778798,715.4866526,937.7670174,17695.77376,2807.842816,923.3176643
SP0514.FP0382.D1,B,FP0382,11474.22476,1768.103858,1340.138368,45901.57464,5588.988028,1452.126314
SP0514.FP0383.D1,A,FP0383,5710.220689,873.0918398,1038.761645,22296.04329,2999.768833,840.1062766
SP0514.FP0387.D1,C,FP0387,6467.622821,1930.190364,1436.874091,29478.82818,3349.766347,943.0223593
SP0514.FP0388.D1,B,FP0388,2273.644992,532.059021,454.7214387,7048.961799,1488.622052,1857.958096
SP0514.FP0389.D1,A,FP0389,2604.712676,1352.854788,627.7406738,8563.97236,1339.32186,1748.084525
SP0514.FP0393.D1,C,FP0393,3937.938726,521.2826749,610.2412514,8364.040459,1552.976766,330.6343865
SP0514.FP0394.D1,B,FP0394,4523.761653,1246.157036,820.0371714,5347.143497,3916.579921,768.8225098
SP0514.FP0395.D1,A,FP0395,3323.810878,2055.704396,629.0338553,8594.907058,3381.416392,251.2494006
SP0514.FP0399.D1,C,FP0399,1109.168682,131.7391823,148.8246161,10087.64122,1396.783003,396.5077797
SP0514.FP0400.D1,B,FP0400,6201.450599,1673.118765,914.0804487,14991.9476,4178.654649,1630.625405
SP0514.FP0404.D1,C,FP0404,5363.480869,603.6794418,998.9080426,19125.51102,2437.297052,982.2195106
SP0514.FP0405.D1,B,FP0405,4041.316701,848.1215875,603.9759108,8561.073165,1087.988735,821.9009358
SP0514.FP0415.D1,C,FP0415,2971.686954,514.6287731,534.41756,16006.83054,3643.049468,361.5429256
SP0514.FP0416.D1,B,FP0416,77744.15392,14043.19899,14848.04078,295586.6315,55867.50009,688.9573788
SP0514.FP0421.D1,C,FP0421,6785.185346,1099.334632,1521.003473,16685.13128,2742.492812,984.7963776
SP0514.FP0422.D1,B,FP0422,4537.365724,1223.660516,579.0902666,6717.900876,1462.858218,1297.268543
SP0514.FP0423.D1,A,FP0423,3510.221857,1331.536351,922.1827914,6674.899872,2151.164923,1248.887113
